product_name,price,unit,unit_price,image_name,integration_date,supermarket
Cry Babies Magic Tears házikó,4199,Ft,,cry-babies-magic-tears-haziko-2005100591963-1-5k.png,2021-11-11 15:36:06.370662,tesco
Cry Pet pityergő kisállat,6299,Ft/db,,cry-pet-pityergo-kisallat-2005100564506-1-5k.png,2021-11-11 15:36:06.370662,tesco
Daewoo DEK-1413 elektromos vízforraló,4999,Ft,,daewoo-dek-1413-elektromos-vizforralo-2005100381116-1-5k.png,2021-11-11 15:36:06.370662,tesco
Daewoo DHB-660s botmixer,9999,Ft,,daewoo-dhb-660s-botmixer-2005100079118-1-5k.png,2021-11-11 15:36:06.370662,tesco
Daewoo DJE-5563 citrusfacsaró,2499,Ft,,daewoo-dje-5563-citrusfacsaro-2005100186800-1-5k.png,2021-11-11 15:36:06.370662,tesco
Daewoo DLS-01 infralámpa,4499,Ft,,daewoo-dls-01-infralampa-2005100381061-1-5k.png,2021-11-11 15:36:06.370662,tesco
Daewoo DSM-9743 szendvicssütő,3999,Ft,,daewoo-dsm-9743-szendvicssuto-2005100186802-1-5k.png,2021-11-11 15:36:06.378785,tesco
Dán vajaskeksz díszdobozban,1249,Ft/db,1kg=3082Ft,dan-vajas-keksz-454g-unnepi-pillanatok-2004020282420-1-5k.png,2021-11-11 15:36:06.378785,tesco
DC figurák,3599,Ft/db,,dc-figurak-2005100615436-2-5k.png,2021-11-11 15:36:06.378785,tesco
Delikát ételízesítő,1599,Ft,,delikat-1-kg-2004007223019-1-5k.png,2021-11-11 15:36:06.378785,tesco
Dino mentőakció társasjáték,6799,Ft,,dino-mentoakcio-tarsasjatek-2005100611067-2-5k.png,2021-11-11 15:36:06.378785,tesco
Dino Valley dino-torony szett,11090,Ft/szett,,dino-valley-dino-torony-szett-2005100603253-1-5k.png,2021-11-11 15:36:06.382713,tesco
Dino Valley laboratóriumi kitörési játékszett,7499,Ft/szett,,dino-valley-laboratoriumi-kitoresi-jatekszett-2005100596167-1-5k.png,2021-11-11 15:36:06.383750,tesco
Dino Valley teherszállító autó,5999,Ft/szett,,dino-valley-teherszallito-auto-2005100596166-1-5k.png,2021-11-11 15:36:06.383750,tesco
Dinós készlet,2999,Ft/szett,,dinos-keszlet-2005100608306-1-5k.png,2021-11-11 15:36:06.384797,tesco
Dove szappan,309,Ft/db,1kg=3090Ft,dove-szappan-2004003210181-1-5k.png,2021-11-11 15:36:06.385835,tesco
Dr. Oetker Vakondtúrástorta alappor,849,Ft,1kg=1952Ft,dr-oetker-vakondturas-torta-alappor-2004020312000-1-5k.png,2021-11-11 15:36:06.385835,tesco
Dr.Oetker Feliciana pizza,599,Ft/db,1kg=1843Ft,dr-oetker-feliciana-pizza-2004020203207-1-5k.png,2021-11-11 15:36:06.385835,tesco
Dreamies jutalomfalat megapack,729,Ft/db,,,2021-11-11 15:36:06.385835,tesco
Dunakeszi 2 tojásos száraztészta,299,Ft,1kg=598Ft,dunakeszi-2-tojasos-szarazteszta-2004010553691-1-5k.png,2021-11-11 15:36:06.385835,tesco
Edami félkemény vagy Gouda zsíros sajt,1899,Ft/kg,,edami-fekemeny-sajt-2004003149245-1-5k.png,2021-11-11 15:36:06.385835,tesco
Édes teasüteménymix,899,Ft,1kg=2248Ft,edes-teasutemeny-mix-2004020324682-1-5k.png,2021-11-11 15:36:06.385835,tesco
"Egri Bikavér classicus száraz vörösbor 12,5% 750 ml",449,Ft/db,1l=598.67Ft,egri-bikaver-classicus-szaraz-vorosbor-12-5-750-ml-2004120168045.jpg,2021-11-11 15:36:06.385835,tesco
Elseve sampon vagy balzsam,699,Ft/db,,elseve-samponokra-balzsamokra-es-hajapolokra-2004010758386-1-5k.png,2021-11-11 15:36:06.395252,tesco
Emese ásványvíz,69,Ft,1l=46Ft,emese-asvanyviz-1-5l-2004009782002-1-5k.png,2021-11-11 15:36:06.395759,tesco
